Artista,Ascolti,AscoltiFilter,TracceUniche,TracceUnicheFilter
I Cani,45,27,26,20
Blind Guardian,45,35,14,13
György Ligeti,45,44,37,37
Tommy Igoe and the Birdland Big Band,45,28,10,10
Keygen Church,45,36,13,10
Flook,45,38,20,20
Celtic Orchestra,45,40,36,35
Nouvelle Vague,45,43,20,19
Burial,45,38,21,19
Ryan Miller,45,4,1,1
Bloc Party,45,4,2,2
Barbarossa,45,2,5,2
Point Point,45,39,17,16
Los Cojolites,45,36,2,2
Jordy Searcy,45,10,2,1
MARINA,45,35,8,7
Loma,45,39,14,14
Novalima,45,33,7,7
Loukeman,45,39,12,11
Harry Nilsson,44,37,8,7
Royal Philharmonic Orchestra,44,27,13,10
Broken Bells,44,38,10,10
Vittorio Amandola,44,6,3,2
Alice Merton,44,10,3,3
Masego,44,35,26,25
Chicago Symphony Orchestra,44,29,5,5
Ibrahim Maalouf,44,39,19,17
haruka nakamura,44,33,17,17
Alexi Murdoch,44,9,2,2
Band of Horses,44,6,1,1
Crooked Fingers,44,0,2,0
Kaitlyn Aurelia Smith,44,40,23,22
Rebecca Black,44,37,12,11
You Man,44,38,7,7
Ann Annie,44,40,17,15
Indila,44,38,2,2
Velluto,44,22,13,11
M83,43,36,25,23
The Beach Boys,43,29,20,14
Soft Machine,43,34,18,14
Various Artists,43,14,20,9
Caravan Palace,43,29,19,13
Van Der Graaf Generator,43,38,20,20
Ciconia,43,39,16,15
Tom Waits,43,35,24,20
Charlie Parker,43,24,14,11
Fabrizio Paterlini,43,38,11,11
Jerry Lee Lewis,43,32,27,20
Grateful Dead,43,43,16,16
Swedish Radio Symphony Orchestra,43,37,25,21
Big Brother & The Holding Company,43,36,10,9
Ablaye Cissoko,43,32,6,5
Jessie J,43,9,3,1
Jaymay,43,4,2,2
French 79,43,39,15,15
Trio Monte Alban,43,33,5,4
Micah P. Hinson,43,38,3,3
Kate NV,43,36,13,12
TesseracT,42,37,19,18
Via Luna,42,40,15,15
Twenty One Pilots,42,26,27,17
Ghali,42,5,5,3
Avicii,42,9,4,3
Kate Bush,42,34,16,15
Axwell /\ Ingrosso,42,4,2,2
The Chainsmokers,42,8,5,4
Death Grips,42,25,21,16
Nuuro,42,27,15,12
Ivana Spagna,42,4,3,2
Donovan Woods,42,13,2,2
Ronny Grant,42,9,1,1
Emanuela Cortesi,42,5,1,1
Augusto Giardino,42,3,1,1
Crowded House,42,5,3,3
Dawn Landes,42,10,1,1
The Frames,42,6,3,2
Fink,42,9,2,2
Sevish,42,33,4,4
blackwinterwells,42,36,9,9
Sudan Archives,42,36,25,23
Nicolas Julian,42,33,8,8
The Books,41,37,19,17
The Stranglers,41,26,11,6
The Shins,41,37,14,13
Nico,41,26,13,5
Naughty Boy,41,7,2,2
King Krule,41,35,19,18
Lucio Battisti,41,39,34,33
The Head And The Heart,41,3,5,3
Le Orme,41,32,25,23
Ibrahim Ferrer,41,36,12,10
The Dave Brubeck Quartet,41,22,17,13
black midi,41,37,19,18
Dido,41,29,6,5
MIGMA SHELTER,41,35,10,10
Topic,41,3,1,1
Kristofer Maddigan,41,37,41,37
Nemo,41,34,11,11
Oli Howe,41,39,21,20
Feed Me Jack,40,37,16,16
Talking Heads,40,25,16,11
Charles Gounod,40,38,12,12
Jean-Luc Ponty,40,34,20,20
Elephant Gym,40,31,28,23
Justin Hurwitz,40,24,15,12
Michael Penn,40,4,1,1
Pete Yorn,40,4,1,1
Los Van Van,40,21,5,2
CocoRosie,40,38,17,16
Peia,40,33,12,12
awfultune,40,31,11,11
Laura Les,40,36,1,1
Myth Syzer,40,33,16,15
Janie,40,37,13,13
girl in red,40,32,23,20
Stephen Sanchez,40,33,20,20
Jumo,40,37,24,24
American Football,39,31,13,12
James Bay,39,7,3,3
Shiro SAGISU,39,28,18,14
Zoo Strategies,39,37,9,9
New York Philharmonic,39,36,14,14
Ralph Vaughan Williams,39,32,18,18
Breabach,39,32,19,18
Mark Lettieri,39,38,24,23
Estelle,39,3,2,2
Albin de la Simone,39,34,10,10
DJ Snake,39,8,1,1
Nada Surf,39,6,3,1
Getter Jaani,39,31,8,6
Caamp,39,3,2,2
The Quantic Soul Orchestra,39,37,23,23
Namasenda,39,35,13,12
James K,39,37,11,11
Mr. Bassmeister,39,26,13,8
Maruja,39,38,16,16
Natasha Bedingfield,38,30,5,4
a picture of her,38,34,11,10
Bill Withers,38,16,14,8
Brambles,38,36,15,15
Benjamin Britten,38,25,28,17
COUCOU CHLOE,38,36,17,17
Dark Rooms,38,34,19,19
The Dear Hunter,38,37,36,36
New York Ska-Jazz Ensemble,38,29,16,15
Cesare Cremonini,38,4,2,2
Ludwig Minkus,38,26,28,23
Kurt Weill,38,35,17,17
Vincent Thoma,38,4,1,1
Victor Kwality,38,4,1,1
Younger Brother,38,25,14,14
Benji Hughes,38,5,1,1
Dylan Brady,38,28,7,7
Zélie,38,34,9,8
Agrupacion Ilegal Los Imparciales,38,27,12,10
Diego El Cigala,38,32,15,14
Emma Louise,38,35,16,16
Monobody,37,33,12,12
大象體操 Elephant Gym,37,24,5,4
Stars Of The Lid,37,36,6,6
Brunori Sas,37,21,17,13
Hindi Zahra,37,30,15,15
Jon Lord,37,24,18,15
Blur,37,26,17,14
Malcura,37,19,17,7
Noriyuki Inoue from jizue,37,16,36,16
Pérez Prado,37,26,25,22
Goldspot,37,1,1,1
Keegan DeWitt,37,4,1,1
Mose,37,29,8,8
Peter Sandberg,37,37,11,11
Tongo,37,19,11,5
BØRNS,37,31,11,11
The Microphones,36,32,12,11
Jackson Browne,36,28,11,11
Hilmar Örn Hilmarsson,36,32,21,17
Anouar Brahem,36,31,9,8
Pat Metheny,36,28,17,17
Valentino Fioravanti,36,16,34,15
Andrew Bird,36,26,23,21
DeVotchKa,36,19,11,10
Scott Joplin,36,14,19,7
Volker Bertelmann,36,8,16,8
Jax,36,11,2,2
Loi,36,20,1,1
DEVO,36,32,21,20
Pixel Girl,36,35,17,17
Culprate,35,32,14,14
Aphrodite's Child,35,32,9,9
James Brown,35,32,28,27
Dizzy Gillespie,35,11,17,7
Joan Baez,35,26,6,6
Vladimir Horowitz,35,14,10,8
Nilüfer Yanya,35,35,25,25
Mathew Joseph,35,16,6,6
galen tipton,35,30,12,11
Phoebe Bridgers,35,32,6,6
Tungevaag,35,13,1,1
Lilian Barbe,35,30,8,6
JeanneTo,35,30,10,10
Cyndi Lauper,34,27,13,10
Dimmu Borgir,34,22,8,5
Apparat,34,28,19,16
Metronomy,34,28,8,8
Tennyson,34,32,25,24
Ryuichi Sakamoto,34,30,28,26
Pippo Sowlo,34,22,11,9
百景,34,16,14,12
Afro Celt Sound System,34,22,8,8
Joe Cocker,34,21,9,6
Yumi Kimura,34,30,1,1
H ZETTRIO,34,23,9,9
BICEP,34,27,9,8
Voyou,34,24,10,8
Pondora,34,24,1,1
Actress,34,32,10,10
Pupy y Los Que Son Son,34,27,10,10
Kaguu,34,31,20,19
Extrafish,34,24,16,13
Zeph,34,23,7,5
The Marshmallow Kisses,34,30,12,12
TWEAKS,34,31,12,11
1tbsp,34,27,9,9
Cumbia Connection,34,25,4,4
ultra caro,34,25,19,17
Madeleine Peyroux,33,26,18,16
Zedd,33,16,17,13
Nirvana,33,20,15,9
John Cale,33,27,8,8
Steve Miller Band,33,29,20,18
Angel Olsen,33,31,20,20
Dean Martin,33,28,26,25
Adriano Celentano,33,23,18,16
Ennio Morricone,33,27,19,17
Miriam Hyde,33,33,30,30
Donna Summer,33,31,33,31
PRIMITIVE ART ORCHESTRA,33,26,18,17
The Touré-Raichel Collective,33,26,12,12
Frigg,33,24,16,14
Major7,33,27,7,7
Reality Test,33,24,7,7
Zoufris Maracas,33,30,11,11
Los Chipis,33,24,9,8
DjRUM,33,28,6,6
España Circo Este,33,13,22,11
Phantogram,33,28,6,6
Adé,33,31,14,14
Skiantos,32,19,12,10
Tiziano Ferro,32,25,21,18
Portishead,32,28,13,13
The 5th Dimension,32,28,26,25
Raffaella Carrà,32,23,14,8
Deutsches Symphonie-Orchester Berlin,32,24,3,2
Therion,32,20,14,11
Wreck and Reference,32,26,10,10
Thank You Scientist,32,17,12,10
The Red Army Choir,32,26,28,24
Susannah McCorkle,32,18,6,4
Ranil,32,26,11,10
Flavia Coelho,32,27,14,14
Ycare,32,32,2,2
Terrenoire,32,29,7,7
Clap! Clap!,32,32,26,26
Hand Habits,32,32,7,7
hodíla ízba,32,29,11,11
Baby Queen,32,30,30,29
Le Talu,32,27,20,18
Nektar,31,22,16,12
standards,31,27,16,16
Opus Avantra,31,14,9,7
Patti Smith,31,27,6,6
Infected Mushroom,31,12,17,7
Art Blakey & The Jazz Messengers,31,16,12,10
Chinese Man,31,23,17,15
Cat Power,31,28,12,12
Jim Morrison,31,11,7,4
Vangelis,31,25,17,16
Melanie De Biasio,31,23,5,5
Akeboshi,31,24,19,19
umru,31,29,15,15
DJ Food,31,29,8,8
Cameron Winter,31,30,10,10
Steven Wilson,30,22,11,10
Albert,30,16,7,3
Steve Reich,30,24,10,10
René Aubry,30,26,11,9
Piccolo Coro dell'Antoniano,30,15,19,10
Zequinha De Abreu,30,19,12,10
[dunkelbunt],30,22,7,7
Worakls,30,24,16,15
Pino Daniele,30,12,16,7
Black Dresses,30,22,21,16
Juan Luis Guerra 4.40,30,24,4,3
Antony and the Johnsons,30,18,11,9
Chicha Libre,30,26,9,9
Ensemble Pirin,30,22,4,2
Mama Badema Sissoko,30,20,1,1
Nick Barbachano,30,26,11,11
Smoke Sign,30,21,1,1
C'mon Tigre,30,18,10,7
Maria Domark,30,24,7,7
Brad Oberhofer,30,28,10,10
MILES,30,15,11,10
Graphy-T,30,27,9,9
Red Sparowes,29,26,6,6
tricot,29,17,15,13
Fugazi,29,25,5,4
Interactive Noise,29,22,11,9
Paul McCartney,29,23,18,15
R.E.M.,29,23,12,10
Max Gazzè,29,22,17,14
Flavien Berger,29,28,15,15
Library Tapes,29,28,10,10
Jefre Cantu-Ledesma,29,19,12,10
7038634357,29,25,5,5
Pavel Dovgal,29,21,4,4
Koxie,29,24,1,1
Okay Kaya,29,28,13,12
Lomelda,29,28,13,13
Clara Ysé,29,28,8,8
Protokseed,29,23,2,2
November Ultra,29,26,14,14
Crystal Castles,29,26,19,19
Angelina Mango,29,17,8,2
MGNA Crrrta,29,24,11,11
Chuck Berry,28,14,18,8
Pearl Jam,28,15,15,9
TWICE,28,18,10,9
José González,28,24,12,11
The Pogues,28,12,23,11
Billy Cobham,28,11,9,7
ADAM at,28,12,2,2
HEALTH,28,22,9,7
FKJ,28,25,21,20
Anne Sylvestre,28,27,3,3
Caterina Caselli,28,24,21,19
Issac Delgado,28,23,3,3
Tiësto,28,13,6,3
Yorina,28,25,6,6
8485,28,25,8,8
Chester Lockhart,28,27,2,2
Birds on a Wire,28,25,2,2
NAVA,28,20,14,12
Paris Paloma,28,22,11,11
Empress Of,28,25,8,7
Hana Stretton,28,26,14,14
Massimo Silverio,28,26,13,13
SIX,28,19,11,9
MDNS,28,23,7,6
Vasudeva,27,24,11,9
The Contortionist,27,26,13,13
Grimes,27,21,10,9
Pierangelo Bertoli,27,17,7,5
Caribou,27,24,10,8
Moondog,27,13,9,6
Michael Jackson,27,17,24,16
Buffalo Springfield,27,24,12,12
Journey,27,21,17,16
Fatoumata Diawara,27,25,25,23
Federico Albanese,27,27,17,17
Norah Jones,27,23,14,11
Kitaro,27,18,7,7
Katie Melua,27,22,5,5
Ezra Collective,27,14,6,5
Swing That Music,27,23,17,17
Los Wembler's de Iquitos,27,26,13,12
Palace,27,26,25,25
Technical Hitch,27,16,7,4
Glen Hansard,27,18,8,7
Florist,27,26,11,11
Yeahman,27,24,13,13
L'Rain,27,27,14,14
Astrid Sonne,27,24,12,10
Holly Waxwing,27,26,3,3
Daphne Rubin-Vega,27,18,3,1
HACHIKO,27,20,14,14
Little Tybee,26,17,6,6
Shakira,26,18,18,15
Haken,26,22,19,18
Robert Wyatt,26,23,11,11
Andrea Laszlo De Simone,26,12,13,8
DIIV,26,20,11,10
Queens of the Stone Age,26,18,20,16
Tim Buckley,26,25,7,7
Luigi Boccherini,26,21,13,13
Pretenders,26,18,15,14
Calcutta ,26,14,21,14
Gogol Bordello,26,21,15,14
Megadeth,26,20,20,16
Grandaddy,26,16,4,4
Bonga,26,15,9,7
Status Quo,26,21,25,21
Stephen Kovacevich,26,16,17,9
Karunesh,26,17,3,3
Ryo Fukui,26,19,16,16
Darius Milhaud,26,14,12,8
Randy Newman,26,22,21,21
Cheikh Lô,26,21,18,16
Hidden Orchestra,26,19,10,9
Orchestra Di Piazza Vittorio,26,14,10,10
Piers Faccini,26,26,16,16
Djo,26,18,4,3
Calypso Rose,26,24,18,18
Los Walker’s de Huánuco,26,19,5,4
Romare,26,23,5,5
Paky Madarena,26,21,1,1
Fatima Spar Und Die Freedom Fries,26,18,4,4
Elephanz,26,12,6,5
DARKSIDE,26,23,13,12
Nala Sinephro,26,26,15,15
Najwa,26,20,2,2
Cocanha,26,23,6,6
Anachnid,26,19,3,3
Beach Bunny,26,21,7,7
Reptaliens,26,23,1,1
Cola,26,21,6,6
Palmistry,26,24,7,6
Carlos Viola,26,25,21,20
Bromaz,26,19,7,6
Haywyre,25,23,18,17
Love,25,23,6,6
The Yardbirds,25,12,8,6
John Frusciante,25,21,10,10
Tom's Story,25,24,9,9
Sex Pistols,25,22,19,18
Skrillex,25,21,13,11
Nikolaus Harnoncourt,25,23,8,8
Royal Concertgebouw Orchestra,25,25,12,12
Gino Paoli,25,14,9,6
Madness,25,21,14,12
John Mayall & The Bluesbreakers,25,17,13,12
The Kooks,25,20,8,5
Apocalyptica,25,18,8,8
Nada,25,15,4,4
Doon Kanda,25,22,7,6
Gunild Keetman,25,16,12,8
Ben Lukas Boysen,25,25,6,6
Jacques Loussier Trio,25,19,13,13
Tinariwen,25,20,12,12
Sergio Mendes & Brasil '66,25,12,3,2
Alfredo Valdes,25,19,2,2
Ane Brun,25,23,7,7
DakhaBrakha,25,17,8,6
SALEM,25,25,12,12
Sandra Bernardo,25,20,5,5
ODESZA,25,22,15,14
Néboa,25,23,3,3
Peret,25,21,2,2
Los Diablos Rojos,25,23,11,11
Oliver Malcolm,25,19,1,1
Alice Gas,25,25,5,5
Alex G,25,22,8,7
snorunt,25,18,1,1
George Clanton,25,20,9,9
Finn Keane,25,21,4,4
LA LOM,25,20,7,6
Infinity Knives,25,23,14,14
The Bad Plus,24,15,10,7
Pretend,24,23,11,11
David Maxim Micic,24,21,11,11
Dimitri Vegas & Like Mike,24,17,3,2
Eric Johnson,24,19,12,9
Luigi Tenco,24,16,15,10
James Heather,24,23,14,13
August Burns Red,24,15,11,9
JYOCHO,24,16,10,9
Vini Vici,24,23,10,10
Arthur H,24,20,6,6
Helen Merrill,24,24,12,12
David Byrne,24,22,21,20
Bibio,24,22,9,9
Babalos,24,10,2,2
The Browning,24,11,5,4
Vincent Delerm,24,22,8,8
Los Orientales de Paramonga,24,16,6,6
HMLTD,24,18,7,6
Tirzah,24,19,10,8
Grupo Maravilla,24,21,10,10
SPIRIT OF THE BEEHIVE,24,20,13,12
Moor Mother,24,22,16,16
Sasha Alex Sloan,24,15,1,1
Surf Curse,24,22,5,5
yes/and,24,23,7,7
Coez,23,10,7,3
Message To Bears,23,20,9,9
Lorn,23,18,10,10
Yvette Young,23,22,12,12
Julianna Barwick,23,22,13,12
Traffic,23,17,9,6
Zomboy,23,16,14,12
Billie Holiday,23,18,11,10
Dusty Springfield,23,16,7,7
Harry Belafonte,23,16,11,8
Don McLean,23,16,6,6
Orchestre de la Suisse Romande,23,20,3,3
Dietrich Fischer-Dieskau,23,20,6,6
The Zen Circus,23,18,13,11
John Martyn,23,21,12,12
John Coltrane,23,18,18,15
Colleen,23,23,7,7
Astor Piazzolla,23,12,7,5
Bugo,23,3,18,3
Judd Greenstein,23,22,2,2
Querox,23,4,1,1
Bebeto,23,13,13,12
Marc Anthony,23,16,3,2
SZA,23,19,20,19
Radical Face,23,17,5,5
Pépite,23,19,9,8
Elia y Elizabeth,23,20,20,19
Leon Vynehall,23,22,10,10
d0llywood1,23,13,2,2
Brutalismus 3000,23,22,16,16
Acid Arab,23,17,10,10
BABii,23,9,3,2
Sam Gendel,23,21,20,20
phonewifey,23,20,3,2
Miel De Montagne,23,23,11,11
Alex Kozobolis,23,23,13,13
User2222,23,4,6,4
María Cristina Plata,23,22,23,22
Kabin Crew,23,21,1,1
SP3CTRUM,23,16,8,8
Liv del Estal,23,20,13,13
sleepmakeswaves,22,21,6,5
The Clash,22,13,9,6
Dr. Acula,22,14,9,8
Eugenio In Via Di Gioia,22,13,10,7
Korpiklaani,22,15,9,6
KOAN Sound,22,22,13,13
Gazzelle,22,15,13,9
Pavement,22,21,11,10
Quicksilver Messenger Service,22,17,15,12
Berliner Philharmoniker,22,20,7,7
BLACKPINK,22,16,18,14
Stanley Clarke Trio with Hiromi & Lenny White,22,17,10,10
The Modern Jazz Quartet,22,13,12,9
Jelly Roll Morton,22,1,13,1
Domenico Scarlatti,22,17,16,14
Anonymous,22,17,16,15
Ryan Gosling,22,13,4,4
Nujabes,22,16,7,6
Antônio Carlos Jobim,22,15,14,11
Keith Jarrett,22,14,20,13
Doja Cat,22,14,14,11
Roy Hargrove,22,11,5,4
Stratovarius,22,15,14,12
Ross Ainslie,22,18,7,6
Eels,22,17,8,5
Shannon Quinn,22,0,16,0
Exodia,22,18,5,4
Fauve,22,20,16,14
Fatima Al Qadiri,22,20,7,7
North Americans,22,22,7,7
Yooh,22,16,1,1
Marta Del Grandi,22,17,8,8
Tárkány-Müvek,22,22,19,19
Evil Activities,22,18,4,4
KAROL G,22,5,9,2
james K,22,21,14,13
Mark Mancina,22,20,6,6
The Evpatoria Report,21,18,4,4
Édith Piaf,21,12,8,4
Guns N' Roses,21,13,12,10
Richard Sinclair,21,18,5,5
3nd,21,17,10,9
Passion Pit,21,12,8,6
Claudio Monteverdi,21,16,11,8
Oreste Lionello,21,5,6,2
Yung Lean,21,12,11,9
Mazzy Star,21,19,7,6
The Animals,21,17,6,4
Bon Iver,21,18,12,11
Les Yeux Noirs,21,18,6,6
Tomaso Albinoni,21,14,6,5
Brian Auger,21,16,9,9
The Orb,21,14,6,4
Bryan Adams,21,3,11,3
John Stebbe,21,17,20,17
Enigma,21,17,16,13
Omara Portuondo,21,20,8,7
Larry Klein,21,20,1,1
Balkan Beat Box,21,12,4,3
Blick Bassy,21,20,7,7
Paolo Nutini,21,9,4,3
beabadoobee,21,16,7,6
As Blood Runs Black,21,15,8,7
Johnny Pacheco,21,12,2,2
Ter.n,21,18,21,18
Grupo Peru Manta,21,20,18,18
DJ Lostboi,21,21,7,7
Illuminine,21,21,10,10
Alabaster DePlume,21,20,11,11
Pearly Drops,21,20,6,6
billy woods,21,18,16,15
Lucrecia Dalt,21,20,12,11
Roberto Musci,21,18,7,7
Hugo Kant,21,17,1,1
Machine Girl,21,18,16,14
Mike Lazarev,21,19,10,10
h hunt,21,21,6,6
Novo Amor,21,17,8,7
Keith Kenniff,21,18,1,1
3OH!3,21,13,4,4
DOMi & JD BECK,21,18,15,14
The Murder Capital,21,19,18,16
Chappell Roan,21,18,10,9
Marco Castello,21,14,7,6
Fanfara Tirana,21,19,4,4
Dudu.wav,21,18,6,6
Joy Division,20,15,10,9
Hyakkei,20,15,5,5
Strawberry Girls,20,19,10,9
Cloudkicker,20,17,9,9
Tortoise,20,19,6,6
Arms and Sleepers,20,18,16,16
CAN,20,20,10,10
The Killers,20,14,7,7
Avenged Sevenfold,20,15,11,9
Fast Animals and Slow Kids,20,16,14,12
LCD Soundsystem,20,19,10,9
Ludovico Einaudi,20,20,14,14
Blood Orange,20,17,11,9
Arcangelo Corelli,20,9,12,7
Lana Del Rey,20,17,11,10
Brad Mehldau,20,13,10,7
The Spinners,20,16,12,11
Louis Prima,20,18,15,15
The Black Market Trust,20,15,12,10
Johann Pachelbel,20,10,11,6
Boban Markovic Orkestar,20,14,7,6
Rokia Traoré,20,15,4,4
Michael Nyman,20,9,6,5
Bruce Hornsby,20,18,6,6
Fall Out Boy,20,12,6,5
Francis Poulenc,20,11,9,6
Brendan Eder Ensemble,20,9,7,7
Zakir Hussain,20,14,9,8
JABBERLOOP,20,3,6,3
Shiva,20,9,6,5
Gnonnas Pédro,20,15,4,3
PE'Z,20,6,4,3
Jon Brion,20,19,6,5
C.W. Stoneking,20,11,3,1
Satanicpornocultshop,20,19,8,8
Nico Roig,20,17,8,7
Therapie TAXI,20,17,7,7
Noé Preszow,20,20,4,4
La P'tite Fumée,20,17,8,8
Lyra Pramuk,20,17,9,7
Indecorum,20,16,7,7
Fred Nevché,20,19,18,17
Fax Gang,20,20,10,10
Crumb,20,20,6,6
M. Sage,20,19,6,6
AGENT,20,14,1,1
Galwaro,20,17,2,2
Sonora Siguaray,20,16,4,4
Suzane,20,18,15,13
Lado,20,18,6,6
EMMA,20,15,5,5
Glass Beams,20,16,11,10
Maserati,19,19,4,4
Don Caballero,19,16,6,6
Mount Eerie,19,17,8,8
Grouper,19,19,12,12
P!nk,19,10,7,6
Kelly Clarkson,19,12,4,3
Lil Peep,19,11,15,9
Virtual Riot,19,18,2,2
Noah Gundersen,19,17,11,10
Slow Meadow,19,19,11,11
Tally Hall,19,17,5,4
The Last Shadow Puppets,19,15,9,8
Black Eyed Peas,19,11,11,8
Iggy Pop,19,11,9,5
La Yegros,19,12,7,5
Jacky Terrasson,19,17,5,5
Baustelle,19,9,14,7
Rhapsody,19,15,10,8
Karen Dalton,19,15,6,5
CCCP – Fedeli Alla Linea,19,9,8,5
Holy Forest,19,15,1,1
Taraf de Haïdouks,19,14,14,12
Blackmore's Night,19,10,4,4
Imogen Heap,19,16,6,6
Silver Jews,19,16,10,9
Charmas,19,11,3,3
Teebs,19,16,14,13
Bon Entendeur,19,11,8,6
Pape Fall,19,12,7,5
Tim Hecker,19,17,11,9
Loopy Luke,19,17,18,17
Prague Symphony Orchestra,19,11,15,10
Moses Sumney,19,17,8,8
Chancha Via Circuito,19,17,9,9
Hermanos Gutiérrez,19,18,13,12
PinkPantheress,19,17,14,13
JID,19,16,13,12
Enko,19,16,2,2
La Ludwig Band,19,15,1,1
Tom Rosenthal,19,16,7,6
The Guest,19,15,1,1
Ö,19,16,7,7
CHATON,19,19,4,4
she's green,19,18,8,8
Christian Löffler,18,13,8,6
Long Distance Calling,18,16,2,2
From Monument To Masses,18,18,2,2
Meshuggah,18,15,10,9
Uriah Heep,18,17,16,15
Leprous,18,12,12,11
The Zombies,18,14,11,10
Umberto Giordano,18,17,18,17
Martha Argerich,18,16,9,9
James Taylor,18,14,11,10
Carl Philipp Emanuel Bach,18,10,6,4
Ween,18,14,9,8
Cascada,18,12,5,4
Amsterdam Klezmer Band,18,14,8,7
Dr Nele Karajlic,18,15,5,5
Academy of St. Martin in the Fields,18,15,14,12
Sveriges Radios Symfoniorkester,18,16,2,2
Air,18,13,10,7
Sam Cooke,18,8,9,6
Squarepusher,18,15,7,6
Al Green,18,15,14,13
Mahmood,18,6,7,3
CAKE,18,11,6,4
Maribou State,18,17,9,9
L'Impératrice,18,18,10,10
Nancy Sinatra,18,16,6,6
John Cage,18,4,12,2
Totó La Momposina,18,13,3,3
Compay Quinto,18,12,6,6
Papooz,18,14,11,8
Susheela Raman,18,15,3,3
Mr. Carmack,18,13,4,3
Management,18,10,9,7
Angelo Vaillant,18,15,6,6
God Help The Girl,18,7,2,2
Mdou Moctar,18,12,4,4
Grupo Génesis,18,14,4,4
Adam Melchor,18,15,2,2
Janos Sebestyen,18,17,9,9
Drumcorps,18,12,6,5
Milkdrive,18,16,10,10
Madlib,18,16,16,16
Circuit des Yeux,18,15,6,6
GIALLORENZO,18,7,6,5
Ensemble Trakia,18,13,4,4
ZUTOMAYO,18,16,10,10
¥$,18,17,17,17
Drink Chocolate,18,9,5,1
Il Mago Del Gelato,18,17,16,16
pg.lost,17,16,5,5
David Guetta,17,12,11,7
Atmosphere Asmr,17,0,17,0
The Irish Rovers,17,14,14,13
Compay Segundo,17,14,8,8
MONO,17,17,5,5
The Doobie Brothers,17,15,6,4
John Butler Trio,17,12,10,7
Commodores,17,11,9,6
10cc,17,15,5,4
Vasco Brondi,17,14,7,6
U2,17,11,12,9
Roxy Music,17,12,9,9
Ivan Graziani,17,11,9,6
Caravan,17,15,10,9
Sharon Van Etten,17,17,12,12
Carole King,17,16,8,8
Willie Peyote,17,10,8,6
Nine Inch Nails,17,10,14,9
Estas Tonne,17,9,12,8
Niccolò Paganini,17,15,12,12
Rick Wakeman,17,16,7,7
Thomas Newman,17,5,16,4
Drew Holcomb & The Neighbors,17,11,5,4
Berg,17,14,11,9
Fritz Kreisler,17,16,10,9
John Prine,17,16,8,8
Oscar Peterson Trio,17,11,10,6
Matteo Bensi,17,10,7,5
Arnold Schoenberg,17,13,6,4
Alexander Scriabin,17,16,15,14
Marika Takeuchi,17,17,14,14
Roedelius,17,17,5,5
London Philharmonic Orchestra,17,14,10,10
Feu! Chatterton,17,15,10,10
Aretha Franklin,17,12,8,4
Soha,17,10,1,1
Dàimh,17,15,8,8
Czech Philharmonic,17,15,10,10
The Jupiter String Quartet,17,14,8,7
"Orlando ""Cachaíto"" López",17,13,3,3
Benny Goodman Trio,17,16,17,16
Stacey Kent,17,9,5,4
QUIET BISON,17,17,15,15
Giora Feidman,17,9,8,6
Celia Cruz,17,11,7,7
TIMBALIVE,17,17,9,9
Elvenking,17,12,5,5
Adrianne Lenker,17,14,11,10
Fraxiom,17,13,6,6
Goreshit,17,12,10,8
Lusine,17,16,9,9
Madge,17,15,8,7
Bohemian Betyars,17,14,6,6
Ghostemane,17,13,2,2
Emile Mosseri,17,15,3,3
DJ WOODSIDE-TETSUYA,17,0,1,0
Alvvays,17,17,8,8
Any Other,17,16,2,2
Varra,17,15,11,11
Nic N'Taya,17,16,12,11
Bulgarian Voices Angelite,17,10,2,1
Bassvictim,17,15,12,11
Uma Mohan,17,12,1,1
Los Eclipses,17,11,3,2
UNDRESSD,17,15,1,1
sapientdream,17,10,4,2
Blood Incantation,17,14,7,7
Saja Boys,17,11,2,2
The Flaming Lips,16,15,6,6
Jónsi,16,16,6,6
Il Pagante,16,6,14,6
Pantera,16,13,15,13
Dame Joan Sutherland,16,15,14,13
Ayreon,16,7,6,5
The Lovin' Spoonful,16,15,5,5
Average White Band,16,15,15,14
Bobby McFerrin,16,2,10,2
No Blues,16,14,7,7
Emir Kusturica & The No Smoking Orchestra,16,16,8,8
Wishbone Ash,16,10,6,5
Eloy,16,14,8,8
Stereolab,16,13,12,11
Al Stewart,16,16,4,4
Garage Gang,16,10,10,7
Paul Kalkbrenner,16,14,13,12
Kevin Johansen,16,7,4,2
Cosmo,16,12,9,5
Adam Neely,16,9,10,7
Tony Banks,16,4,13,4
Loretta Goggi,16,15,9,9
Bo Hansson,16,13,12,11
Eva Cassidy,16,14,5,5
John Rowcroft,16,5,5,3
Jordi Savall,16,7,12,6
Liquid Bloom,16,13,12,10
中村均一,16,12,11,11
Agar Agar,16,9,7,6
RESISTIRÉ MÉXICO,16,4,1,1
Tina Centi,16,1,5,1
Trio Bobo,16,14,10,9
SYML,16,11,4,3
Ray Lynch,16,13,15,13
Balla Tounkara,16,11,1,1
Laba Sosseh,16,13,2,2
Tkay Maidza,16,11,7,5
Thylacine,16,8,3,3
Hania Rani,16,13,12,10
Anoushka Shankar,16,10,1,1
Giuliano Palma & The BlueBeaters,16,14,1,1
Kolinga,16,14,6,6
Rainer Scheurenbrand,16,16,8,8
Home,16,11,5,5
Muddy Monk,16,14,6,5
Shadow Community,16,10,4,4
Kadhja Bonet,16,14,9,9
Brandon & Marshall,16,13,1,1
Carissa's Wierd,16,15,7,7
