Artista,Ascolti,AscoltiFilter,TracceUniche,TracceUnicheFilter
"Tyler, The Creator",109,97,35,33
Manzanita,109,90,30,29
Keala Settle,109,76,1,1
If These Trees Could Talk,108,99,15,14
Zac Efron,108,84,3,2
Mammal Hands,108,89,28,27
YULLOLA,108,95,25,23
John Lennon,107,91,20,19
Rudimental,107,52,3,2
Lost Frequencies,107,43,4,4
Las Migas,107,84,15,13
Godspeed You! Black Emperor,106,97,20,20
Wiener Philharmoniker,106,104,43,43
Noah Kahan,106,51,4,3
Ryan Adams,106,16,18,4
Laufey,106,94,68,65
Rush,105,81,28,27
Chet Baker,105,101,58,58
Izi,105,81,22,20
Julian Lage,105,86,17,17
Dustin O'Halloran,104,99,35,35
Baka Beyond,104,95,69,68
Jockstrap,104,89,22,21
Giant Claw,104,85,12,11
Beach House,103,88,30,28
Delta Sleep,103,91,51,47
mouse on the keys,103,74,34,29
Rosemary Standley,103,88,12,11
fun.,103,54,6,6
Evil Grimace,103,71,19,17
David Gilmour,102,81,18,17
Oneohtrix Point Never,102,74,41,39
Ziv Zaifman,102,68,1,1
Klô Pelgag,102,91,24,24
Hoshi,102,97,27,27
The Alan Parsons Project,101,84,35,32
Helios,101,97,26,25
London Symphony Orchestra,101,92,30,28
Ottorino Respighi,101,92,58,57
Ratatat,101,101,49,49
Mandragora,101,76,33,30
Scale The Summit,100,53,11,10
Philip Glass,100,73,57,47
Michelle Williams,100,59,1,1
Darren Criss,100,55,15,3
Cecile Believe,100,90,14,14
Casey MQ,100,97,15,15
Bob Marley & The Wailers,99,74,63,50
The Smile,99,91,24,23
The Byrds,98,79,29,26
Hiroshi Yoshimura,98,78,24,23
Slonovski Bal,98,75,45,44
chien noir,98,92,18,18
Paramore,97,54,20,16
Geese,97,94,33,33
Robert Schumann,96,88,37,35
Samuel Barber,96,85,11,8
Lil Wayne,96,81,32,31
Uboa,96,91,6,5
Gustav Holst,95,91,51,50
Roger Waters,95,81,40,37
Desert Vows,95,65,26,26
Venetian Snares,94,72,33,29
Khruangbin,94,75,46,43
Macklemore & Ryan Lewis,93,7,4,3
Lorde,93,83,23,21
Daniel Barenboim,93,86,24,24
Britney Spears,92,56,26,19
Ella Fitzgerald,92,76,56,52
Rival Consoles,92,67,28,26
Uochi Toki,92,63,25,23
BENNETT,92,72,9,8
The Who,91,60,32,21
Lou Reed,91,76,8,7
Backstreet Boys,91,30,4,2
"Ernest ""Chico"" Alvarez",91,62,6,6
Eagles,90,76,26,26
Duke Ellington,90,57,51,42
okgiorgio,90,69,26,25
TTNG,89,75,34,31
Slowdive,89,78,22,22
Bandabardò,89,67,26,22
Weyes Blood,89,74,28,28
Big Star,89,14,4,4
Giraffes? Giraffes!,88,52,16,11
Gentle Giant,88,70,34,31
Elio e le Storie Tese,88,67,58,49
Let's Eat Grandma,88,43,16,14
The Magnetic Fields,88,77,29,28
Austyn Johnson,88,17,1,1
Redbone,87,18,9,9
Claudio Lolli,87,79,32,31
Odezenne,87,66,18,17
Solann,87,78,22,20
Russian Circles,85,82,14,14
Shawn Mendes,85,29,8,5
Léo Delibes,85,76,26,24
Fools Garden,85,53,25,23
The Derek Trucks Band,85,39,12,12
James Blake,85,76,41,40
Dua Lipa,85,48,8,6
Manuela Villa,85,11,3,2
FKA twigs,85,76,30,28
Sexy Sushi,85,61,26,22
Mid-Air Thief,85,64,12,12
Kero Kero Bonito,85,63,23,19
The National,84,36,21,16
Philharmonia Orchestra,84,79,23,21
Trivium,84,71,29,28
John Mayer,83,7,4,2
Mestís,83,78,29,29
deadmau5,83,54,53,39
Deodato,83,43,25,15
Stan Getz,83,55,43,42
Amadou & Mariam,83,66,32,32
ZAYN,82,11,4,3
Dream Theater,82,52,30,26
Bad Bunny,82,38,26,10
Ben Mazué,82,63,15,14
"Peter, Paul and Mary",82,57,9,8
Alex Baroni,82,14,2,1
Aram Khachaturian,81,70,48,44
Keane,81,23,2,2
Noir Désir,81,46,21,20
Floating Points,81,59,17,17
John Psathas,81,53,23,20
Genesis Owusu,81,72,45,45
Jefferson Airplane,80,63,10,10
Renaissance,80,62,26,21
Cass McCombs,80,31,7,7
Sergei Prokofiev,80,66,43,32
Camille,80,68,28,25
tide/edit,79,73,27,25
"Grover Washington, Jr.",79,59,28,28
Los Mirlos,79,66,28,25
Tony Velour,79,69,5,5
µ-Ziq,79,65,27,26
Pink Siifu,79,62,18,17
Ignacio Maria Gomez,79,60,7,7
Clown Core,79,59,34,28
Jimi Hendrix,78,61,27,25
Cream,78,59,21,18
Isaac et Nora,78,66,11,10
Saya Gray,78,69,23,22
Kansas,77,68,26,26
Jean-Michel Jarre,77,70,44,43
Basshunter,77,53,29,23
Alexander Borodin,77,66,34,33
ROSALÍA,77,65,58,54
Taylor Swift,77,56,28,23
The American Dollar,76,75,11,11
Eluvium,76,66,22,18
Sungazer,76,46,21,20
Tangerine Dream,76,57,39,35
"INCA, the Peruvian Ensemble",76,63,40,39
Enrico Nigiotti,76,15,6,4
Stoned Jesus,75,58,31,26
Easy Star All-Stars,75,47,22,17
Semiramis,75,41,11,8
Bright Eyes,75,31,13,7
Lido Pimienta,75,57,17,17
Billx,75,64,14,14
April March,75,53,16,15
Tenacious D,74,43,33,24
Belle Chen,74,20,17,3
Blastoyz,74,55,13,12
The Fray,74,15,2,2
Cake Pop,74,60,9,9
Fleet Foxes,73,59,22,20
Slipknot,73,49,44,39
Linkin Park,73,52,23,19
My Chemical Romance,73,57,14,11
Vincenzo Bellini,73,64,57,53
Benjy Wertheimer,73,58,19,19
Melanie Martinez,72,63,46,45
Marie-Flore,72,69,22,22
Louis Armstrong,71,50,41,37
Rancore,71,52,24,22
Popol Vuh,71,40,24,22
Slow Attack Ensemble,71,54,17,17
Vanille,71,61,7,7
And So I Watch You from Afar,70,59,17,15
The Kinks,70,59,20,18
Paolo Conte,70,61,16,13
Hans Zimmer,70,25,38,14
Patrick Watson,70,56,24,23
Loreena McKennitt,70,53,36,31
Gomez,70,39,2,1
Coral Rojo,70,58,7,7
Blue Öyster Cult,69,45,16,14
Björk,69,54,34,26
Iosonouncane,69,27,24,21
Chapelier Fou,69,62,23,22
Erland Cooper,69,63,12,12
Vegyn,69,59,39,36
Yo La Tengo,68,63,16,16
Arctic Monkeys,68,57,26,25
AfroCubism,68,60,19,19
Tre Allegri Ragazzi Morti,68,36,13,9
Polo & Pan,68,63,37,35
Masakatsu Takagi,68,57,46,42
GoGo Penguin,68,56,31,31
Miracle Musical,68,58,11,11
Tomaga,68,62,10,10
COBRAH,68,52,19,19
⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,68,66,15,15
Peter Broderick,67,59,20,20
Cucineremo Ciambelle,67,31,17,15
Francesco De Gregori,67,49,20,18
Mac DeMarco,67,62,51,50
Black,67,55,17,17
clipping.,67,47,22,17
The Vernon Spring,67,67,14,14
Ashe,67,50,8,8
Cibo Matto,67,54,30,29
La Sonora Dinamita,67,57,24,22
Wim Mertens,66,57,47,45
Nina Simone,66,42,26,20
Giorgio Gaber,66,57,28,27
TRI4TH,66,50,38,35
Lemon Demon,66,55,41,38
Coca Puma,66,49,14,11
horsegiirL,66,47,17,16
The Chemical Brothers,65,33,22,18
Chick Corea,65,45,19,17
Alice et Moi,65,53,10,9
Anjimile,65,61,24,22
The Prophet,65,45,5,4
Stage Kids,64,55,18,17
Spiritualized,64,53,14,14
Françoise Hardy,64,54,21,17
Rodolfo Aicardi,64,51,9,8
OTTO,64,45,21,19
recovery girl,64,44,27,23
Golin,64,52,7,6
Donovan,63,49,16,16
Peter Gabriel,63,53,25,23
Michael Bublé,63,29,31,18
Frank Sinatra,63,38,27,21
Andrew Latimer,63,45,9,8
Nu Genea,63,48,17,13
Powfu,63,24,1,1
A Winged Victory for the Sullen,63,57,22,21
Major Lazer,63,28,3,2
Les clopes,63,57,14,14
Contrefaçon,63,42,17,14
blink-182,63,52,14,14
Thom Yorke,62,55,20,19
Elodie,62,3,15,3
Joseph Haydn,62,54,26,24
Iñigo Montoya,62,52,9,9
Porcupine Tree,61,46,27,25
Ariana Grande,61,9,13,6
Cage The Elephant,61,57,39,38
S3RL,61,42,32,21
Claire Pichet,61,44,1,1
Giovanni Battista Pergolesi,61,51,41,35
Kokoroko,61,44,15,12
Ruben Gonzalez,61,42,11,11
Against All Logic,61,59,28,28
Sílvia Pérez Cruz,61,40,11,11
Katie Dey,61,52,18,17
Lil Nas X,61,26,8,4
Meniscus,60,39,17,15
Steve Hackett,60,51,36,31
Gojira,60,44,22,20
"Crosby, Stills & Nash",60,49,11,10
Pietro Mascagni,60,56,11,10
Seattle Symphony Orchestra,60,55,9,9
Anna von Hausswolff,60,58,29,28
La Colmena,60,52,14,13
Area,59,42,17,16
The Weepies,59,29,10,8
Ernia,59,41,41,35
Fiorella Mannoia,59,48,8,6
Prince,59,50,37,28
Chris de Burgh,59,25,22,14
Moderat,59,49,27,24
Natalia Lafourcade,59,51,36,34
Tobias Carshey,59,25,1,1
MIMIDEATH,59,53,17,16
Jenny Hval,59,53,23,21
Rosa Linn,59,31,1,1
Goldmund,58,58,12,12
Metallica,58,26,39,19
Snarky Puppy,58,54,20,20
The Blues Brothers,58,40,29,22
Weather Report,58,48,23,22
Enya,58,47,26,23
Taron Egerton,58,29,20,13
The Cardigans,58,41,6,5
Petit Biscuit,58,12,1,1
Diplo,58,31,7,5
George Dalaras,58,47,6,4
Tanya Tagaq,58,51,14,13
Jedwill,58,47,5,5
Ara Ketu,58,47,12,12
Creeds | Hardside,58,46,3,3
Justin Timberlake,57,14,12,4
Floral,57,51,17,16
Frederick Delius,57,55,22,21
Fedez,57,10,9,5
Nikolai Rimsky-Korsakov,57,53,32,29
Stu Larsen,57,27,2,2
Riccardo Muti,57,34,49,32
Josh Ritter,57,37,1,1
Hiatus Kaiyote,57,39,17,14
Laurie Darmon,57,48,14,11
Sefa,57,47,27,27
John Denver,56,35,16,13
Devendra Banhart,56,36,31,26
